date,source,filename,available
2007-10-02,CHIRPS,chirps-v2.0.2007_10_02.tif.gz,False
2007-10-03,CHIRPS,chirps-v2.0.2007_10_03.tif.gz,False
2007-10-04,CHIRPS,chirps-v2.0.2007_10_04.tif.gz,False
2007-10-05,CHIRPS,chirps-v2.0.2007_10_05.tif.gz,False
2007-10-06,CHIRPS,chirps-v2.0.2007_10_06.tif.gz,False
2007-10-07,CHIRPS,chirps-v2.0.2007_10_07.tif.gz,False
2007-10-08,CHIRPS,chirps-v2.0.2007_10_08.tif.gz,False
2007-10-09,CHIRPS,chirps-v2.0.2007_10_09.tif.gz,False
2007-10-10,CHIRPS,chirps-v2.0.2007_10_10.tif.gz,False
2007-10-11,CHIRPS,chirps-v2.0.2007_10_11.tif.gz,False
2007-10-12,CHIRPS,chirps-v2.0.2007_10_12.tif.gz,False
2007-10-13,CHIRPS,chirps-v2.0.2007_10_13.tif.gz,False
2007-10-14,CHIRPS,chirps-v2.0.2007_10_14.tif.gz,False
2007-10-15,CHIRPS,chirps-v2.0.2007_10_15.tif.gz,False
2007-10-16,CHIRPS,chirps-v2.0.2007_10_16.tif.gz,False
2007-10-17,CHIRPS,chirps-v2.0.2007_10_17.tif.gz,False
2007-10-18,CHIRPS,chirps-v2.0.2007_10_18.tif.gz,False
2007-10-19,CHIRPS,chirps-v2.0.2007_10_19.tif.gz,False
2007-10-20,CHIRPS,chirps-v2.0.2007_10_20.tif.gz,False
2007-10-21,CHIRPS,chirps-v2.0.2007_10_21.tif.gz,False
2007-10-22,CHIRPS,chirps-v2.0.2007_10_22.tif.gz,False
2007-10-23,CHIRPS,chirps-v2.0.2007_10_23.tif.gz,False
2007-10-24,CHIRPS,chirps-v2.0.2007_10_24.tif.gz,False
2007-10-25,CHIRPS,chirps-v2.0.2007_10_25.tif.gz,False
2007-10-26,CHIRPS,chirps-v2.0.2007_10_26.tif.gz,False
2007-10-27,CHIRPS,chirps-v2.0.2007_10_27.tif.gz,False
2007-10-28,CHIRPS,chirps-v2.0.2007_10_28.tif.gz,False
2007-10-29,CHIRPS,chirps-v2.0.2007_10_29.tif.gz,False
2007-10-30,CHIRPS,chirps-v2.0.2007_10_30.tif.gz,False
2007-10-31,CHIRPS,chirps-v2.0.2007_10_31.tif.gz,False
2007-11-01,CHIRPS,chirps-v2.0.2007_11_01.tif.gz,False
2007-11-02,CHIRPS,chirps-v2.0.2007_11_02.tif.gz,False
2007-11-03,CHIRPS,chirps-v2.0.2007_11_03.tif.gz,False
2007-11-04,CHIRPS,chirps-v2.0.2007_11_04.tif.gz,False
2007-11-05,CHIRPS,chirps-v2.0.2007_11_05.tif.gz,False
2007-11-06,CHIRPS,chirps-v2.0.2007_11_06.tif.gz,False
2007-11-07,CHIRPS,chirps-v2.0.2007_11_07.tif.gz,False
2007-11-08,CHIRPS,chirps-v2.0.2007_11_08.tif.gz,False
2007-11-09,CHIRPS,chirps-v2.0.2007_11_09.tif.gz,False
2007-11-10,CHIRPS,chirps-v2.0.2007_11_10.tif.gz,False
2007-11-11,CHIRPS,chirps-v2.0.2007_11_11.tif.gz,False
2007-11-12,CHIRPS,chirps-v2.0.2007_11_12.tif.gz,False
2007-11-13,CHIRPS,chirps-v2.0.2007_11_13.tif.gz,False
2007-11-14,CHIRPS,chirps-v2.0.2007_11_14.tif.gz,False
2007-11-15,CHIRPS,chirps-v2.0.2007_11_15.tif.gz,False
2007-11-16,CHIRPS,chirps-v2.0.2007_11_16.tif.gz,False
2007-11-17,CHIRPS,chirps-v2.0.2007_11_17.tif.gz,False
2007-11-18,CHIRPS,chirps-v2.0.2007_11_18.tif.gz,False
2007-11-19,CHIRPS,chirps-v2.0.2007_11_19.tif.gz,False
2007-11-20,CHIRPS,chirps-v2.0.2007_11_20.tif.gz,False
2007-11-21,CHIRPS,chirps-v2.0.2007_11_21.tif.gz,False
2007-11-22,CHIRPS,chirps-v2.0.2007_11_22.tif.gz,False
2007-11-23,CHIRPS,chirps-v2.0.2007_11_23.tif.gz,False
2007-11-24,CHIRPS,chirps-v2.0.2007_11_24.tif.gz,False
2007-11-25,CHIRPS,chirps-v2.0.2007_11_25.tif.gz,False
2007-11-26,CHIRPS,chirps-v2.0.2007_11_26.tif.gz,False
2007-11-27,CHIRPS,chirps-v2.0.2007_11_27.tif.gz,False
2007-11-28,CHIRPS,chirps-v2.0.2007_11_28.tif.gz,False
2007-11-29,CHIRPS,chirps-v2.0.2007_11_29.tif.gz,False
2007-11-30,CHIRPS,chirps-v2.0.2007_11_30.tif.gz,False
2007-12-01,CHIRPS,chirps-v2.0.2007_12_01.tif.gz,False
2007-12-02,CHIRPS,chirps-v2.0.2007_12_02.tif.gz,False
2007-12-03,CHIRPS,chirps-v2.0.2007_12_03.tif.gz,False
2007-12-04,CHIRPS,chirps-v2.0.2007_12_04.tif.gz,False
2007-12-05,CHIRPS,chirps-v2.0.2007_12_05.tif.gz,False
2007-12-06,CHIRPS,chirps-v2.0.2007_12_06.tif.gz,False
2007-12-07,CHIRPS,chirps-v2.0.2007_12_07.tif.gz,False
2007-12-08,CHIRPS,chirps-v2.0.2007_12_08.tif.gz,False
2007-12-09,CHIRPS,chirps-v2.0.2007_12_09.tif.gz,False
2007-12-10,CHIRPS,chirps-v2.0.2007_12_10.tif.gz,False
2007-12-11,CHIRPS,chirps-v2.0.2007_12_11.tif.gz,False
2007-12-12,CHIRPS,chirps-v2.0.2007_12_12.tif.gz,False
2007-12-13,CHIRPS,chirps-v2.0.2007_12_13.tif.gz,False
2007-12-14,CHIRPS,chirps-v2.0.2007_12_14.tif.gz,False
2007-12-15,CHIRPS,chirps-v2.0.2007_12_15.tif.gz,False
2007-12-16,CHIRPS,chirps-v2.0.2007_12_16.tif.gz,False
2007-12-17,CHIRPS,chirps-v2.0.2007_12_17.tif.gz,False
2007-12-18,CHIRPS,chirps-v2.0.2007_12_18.tif.gz,False
2007-12-19,CHIRPS,chirps-v2.0.2007_12_19.tif.gz,False
2007-12-20,CHIRPS,chirps-v2.0.2007_12_20.tif.gz,False
2007-12-21,CHIRPS,chirps-v2.0.2007_12_21.tif.gz,False
2007-12-22,CHIRPS,chirps-v2.0.2007_12_22.tif.gz,False
2007-12-23,CHIRPS,chirps-v2.0.2007_12_23.tif.gz,False
2007-12-24,CHIRPS,chirps-v2.0.2007_12_24.tif.gz,False
2007-12-25,CHIRPS,chirps-v2.0.2007_12_25.tif.gz,False
2007-12-26,CHIRPS,chirps-v2.0.2007_12_26.tif.gz,False
2007-12-27,CHIRPS,chirps-v2.0.2007_12_27.tif.gz,False
2007-12-28,CHIRPS,chirps-v2.0.2007_12_28.tif.gz,False
2007-12-29,CHIRPS,chirps-v2.0.2007_12_29.tif.gz,False
2007-12-30,CHIRPS,chirps-v2.0.2007_12_30.tif.gz,False
2007-12-31,CHIRPS,chirps-v2.0.2007_12_31.tif.gz,False
2008-01-01,CHIRPS,chirps-v2.0.2008_01_01.tif.gz,False
2008-01-02,CHIRPS,chirps-v2.0.2008_01_02.tif.gz,False
2008-01-03,CHIRPS,chirps-v2.0.2008_01_03.tif.gz,False
2008-01-04,CHIRPS,chirps-v2.0.2008_01_04.tif.gz,False
2008-01-05,CHIRPS,chirps-v2.0.2008_01_05.tif.gz,False
2008-01-06,CHIRPS,chirps-v2.0.2008_01_06.tif.gz,False
2008-01-07,CHIRPS,chirps-v2.0.2008_01_07.tif.gz,False
2008-01-08,CHIRPS,chirps-v2.0.2008_01_08.tif.gz,False
2008-01-09,CHIRPS,chirps-v2.0.2008_01_09.tif.gz,False
